[2026-05-09T20:07:09Z DEBUG txv_core::program] Program: command 116
[2026-05-09T20:07:12Z DEBUG txv_core::program] Program: command 3
[2026-05-09T20:07:12Z DEBUG txv_core::program] Program: command 115
[2026-05-09T20:07:17Z DEBUG txv_core::program] Program: command 115
[2026-05-09T20:07:18Z DEBUG txv_core::program] Program: command 3
[2026-05-09T20:07:22Z DEBUG txv_core::program] Program: command 3
[2026-05-09T20:07:24Z DEBUG txv_core::program] Program: command 4
[2026-05-09T20:07:25Z DEBUG txv_core::program] Program: command 116
[2026-05-09T20:07:27Z DEBUG txv_core::program] Program: command 115
[2026-05-09T20:07:27Z DEBUG txv_core::program] Program: command 115
[2026-05-09T20:11:24Z DEBUG txv_core::program] Program: command 131
[2026-05-09T20:11:24Z WARN  kairn] Unhandled command: 131
[2026-05-09T20:14:16Z DEBUG txv_core::program] Program: command 1
